Image Name,Gene,Label
37484-78908_A_5_5.jpg,ENSG00000033030,Nucleoplasm
37484-78908_A_4_5.jpg,ENSG00000033030,Nucleoplasm
37484-78908_A_2_5.jpg,ENSG00000033030,Nucleoplasm
37483-78915_A_4_5.jpg,ENSG00000033030,Nucleoplasm
37484-78908_A_3_5.jpg,ENSG00000033030,Nucleoplasm
37483-78915_A_5_5.jpg,ENSG00000033030,Nucleoplasm
19477-46131_A_6_5.jpg,ENSG00000047932,Golgi Apparatus
19477-46200_B_2_4.jpg,ENSG00000047932,Golgi Apparatus
19477-46200_B_3_4.jpg,ENSG00000047932,Golgi Apparatus
19477-46131_A_4_5.jpg,ENSG00000047932,Golgi Apparatus
19477-46200_B_1_4.jpg,ENSG00000047932,Golgi Apparatus
71956-163279_A_6_5.jpg,ENSG00000058272,Cytoplasm
71956-163279_A_4_5.jpg,ENSG00000058272,Cytoplasm
71956-163279_A_5_5.jpg,ENSG00000058272,Cytoplasm
30262-63310_A_1_5.jpg,ENSG00000069956,Cytoplasm
47825-171288_B_2_4.jpg,ENSG00000069956,Cytoplasm
47825-171288_B_3_4.jpg,ENSG00000069956,Cytoplasm
30262-63310_A_3_5.jpg,ENSG00000069956,Cytoplasm
47825-171288_A_5_5.jpg,ENSG00000069956,Cytoplasm
30262-63310_A_2_5.jpg,ENSG00000069956,Cytoplasm
4631-13690_A_6_5.jpg,ENSG00000071626,Nucleoplasm;Cytoplasm
4631-13690_B_3_4.jpg,ENSG00000071626,Nucleoplasm;Cytoplasm
4631-13690_B_2_4.jpg,ENSG00000071626,Nucleoplasm;Cytoplasm
4631-13690_B_1_4.jpg,ENSG00000071626,Nucleoplasm;Cytoplasm
4201-20246_A_5_5.jpg,ENSG00000071626,Nucleoplasm;Cytoplasm
4631-13690_A_4_5.jpg,ENSG00000071626,Nucleoplasm;Cytoplasm
4201-20246_A_4_5.jpg,ENSG00000071626,Nucleoplasm;Cytoplasm
4631-13690_A_5_5.jpg,ENSG00000071626,Nucleoplasm;Cytoplasm
24120-52622_A_4_5.jpg,ENSG00000077097,Nucleoplasm
4601-11584_A_2_5.jpg,ENSG00000077097,Nucleoplasm
24120-52622_A_5_5.jpg,ENSG00000077097,Nucleoplasm
4601-11584_A_3_5.jpg,ENSG00000077097,Nucleoplasm
4601-11584_A_5_5.jpg,ENSG00000077097,Nucleoplasm
24120-52622_A_6_5.jpg,ENSG00000077097,Nucleoplasm
4601-11584_A_4_5.jpg,ENSG00000077097,Nucleoplasm
4601-11584_A_1_5.jpg,ENSG00000077097,Nucleoplasm
39513-85136_A_2_5.jpg,ENSG00000083642,Nucleoplasm
39513-85136_B_2_4.jpg,ENSG00000083642,Nucleoplasm
40015-85144_A_2_5.jpg,ENSG00000083642,Nucleoplasm
40015-85144_B_2_4.jpg,ENSG00000083642,Nucleoplasm
39513-85136_A_3_5.jpg,ENSG00000083642,Nucleoplasm
40015-85144_A_6_5.jpg,ENSG00000083642,Nucleoplasm
39513-85136_A_6_5.jpg,ENSG00000083642,Nucleoplasm
40015-85144_A_3_5.jpg,ENSG00000083642,Nucleoplasm
39513-85136_A_4_5.jpg,ENSG00000083642,Nucleoplasm
40015-85144_A_1_5.jpg,ENSG00000083642,Nucleoplasm
40015-85144_B_1_4.jpg,ENSG00000083642,Nucleoplasm
39513-85136_A_1_5.jpg,ENSG00000083642,Nucleoplasm
40015-85144_A_4_5.jpg,ENSG00000083642,Nucleoplasm
63636-159652_A_6_5.jpg,ENSG00000085491,Mitochondria
63636-159652_A_4_5.jpg,ENSG00000085491,Mitochondria
39324-94452_A_6_5.jpg,ENSG00000087470,Cytoplasm
39324-94452_A_5_5.jpg,ENSG00000087470,Cytoplasm
39324-94452_A_4_5.jpg,ENSG00000087470,Cytoplasm
